row_index,cell_1_icon_src,cell_1_icon_alt,cell_2_name_link_text,cell_2_full_text,cell_3_img_srcs,cell_3_img_alts,cell_4_text
82,/thumb.php?f=101070121_s2_rank5_command.png&width=80,101070121 s2 rank5 command.png,Noahxis AS,"| Noahxis AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, 202000007 icon.png, 216000002 icon.png",2023-09-15
83,/thumb.php?f=101060091_s3_rank5_command.png&width=80,101060091 s3 rank5 command.png,Felmina ES,"| Felmina ES | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000003 icon.png, 216000003 icon.png",2023-09-06
84,/thumb.php?f=101010161_rank5_command.png&width=80,101010161 rank5 command.png,Elseal,"| Elseal | 
 | 4~5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 8.png, 202000001 icon.png, 216000002 icon.png",2023-08-25
85,/thumb.php?f=101050111_s2_rank5_command.png&width=80,101050111 s2 rank5 command.png,Premaya AS,"| Premaya AS | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, 202000005 icon.png, 216000004 icon.png",2023-08-15
86,/thumb.php?f=101030181_rank5_command.png&width=80,101030181 rank5 command.png,Crimson Reaper,"| Crimson Reaper | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000003 icon.png, 216000003 icon.png",2023-08-04
87,/thumb.php?f=2000000008_command.png&width=80,2000000008 command.png,Limil,"| Limil | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-08-04
88,/thumb.php?f=101050141_s2_rank5_command.png&width=80,101050141 s2 rank5 command.png,Pizzica AS,"| Pizzica AS | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000005 icon.png, 216000004 icon.png",2023-07-25
89,/thumb.php?f=2000000007_command.png&width=80,2000000007 command.png,Pisce,"| Pisce | 
 | 3~4★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-07-25
90,/thumb.php?f=101050161_s2_rank5_command.png&width=80,101050161 s2 rank5 command.png,Nona AS,"| Nona AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 32.png, 202000005 icon.png, 216000004 icon.png",2023-07-14
91,/thumb.php?f=101020161_rank5_command.png&width=80,101020161 rank5 command.png,Sesta,"| Sesta | 
 | 4~5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, 202000002 icon.png, 216000004 icon.png",2023-07-14
92,/thumb.php?f=101000051_s3_rank5_command.png&width=80,101000051 s3 rank5 command.png,Toova ES,"| Toova ES | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 32.png, 202000007 icon.png, 216000002 icon.png",2023-07-14
93,/thumb.php?f=101060121_s2_rank5_command.png&width=80,101060121 s2 rank5 command.png,Lovely AS,"| Lovely AS | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000006 icon.png, 216000003 icon.png",2023-07-05
94,/thumb.php?f=101060081_s2_rank5_command.png&width=80,101060081 s2 rank5 command.png,Cerrine AS,"| Cerrine AS | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 2.png, 202000006 icon.png, 216000003 icon.png",2023-06-21
95,/thumb.php?f=101010151_rank5_command.png&width=80,101010151 rank5 command.png,Beautiful Stranger,"| Beautiful Stranger | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, 202000001 icon.png, 216000002 icon.png",2023-06-21
96,/thumb.php?f=101000331_rank5_command.png&width=80,101000331 rank5 command.png,Yakumo,"| Yakumo | 
 | 4~5★","/thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 32.png, 202000000 icon.png, 216000004 icon.png",2023-06-09
97,/thumb.php?f=2000000006_command.png&width=80,2000000006 command.png,Kumos,"| Kumos | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-06-09
98,/thumb.php?f=101060101_s2_rank5_command.png&width=80,101060101 s2 rank5 command.png,Dewey AS,"| Dewey AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000006 icon.png, 216000003 icon.png",2023-05-10
99,/thumb.php?f=101040191_rank5_command.png&width=80,101040191 rank5 command.png,Vermillion Whip,"| Vermillion Whip | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000004 icon.png, 216000002 icon.png",2023-04-26
100,/thumb.php?f=101000031_s3_rank5_command.png&width=80,101000031 s3 rank5 command.png,Mariel ES,"| Mariel ES | 
 | 5★","/thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 64.png, 202000006 icon.png, 216000003 icon.png",2023-04-11
101,/thumb.php?f=101020121_s2_rank5_command.png&width=80,101020121 s2 rank5 command.png,Heena AS,"| Heena AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, 202000002 icon.png, 216000004 icon.png",2023-03-24
102,/thumb.php?f=101040161_s2_rank5_command.png&width=80,101040161 s2 rank5 command.png,Garambarrel AS,"| Garambarrel AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, 202000004 icon.png, 216000002 icon.png",2023-03-10
103,/thumb.php?f=101060161_rank5_command.png&width=80,101060161 rank5 command.png,Ashtear,"| Ashtear | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000006 icon.png, 216000003 icon.png",2023-02-24
104,/thumb.php?f=2000000002_command.png&width=80,2000000002 command.png,Korobo,"| Korobo | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-02-24
105,/thumb.php?f=101010131_rank5_command.png&width=80,101010131 rank5 command.png,Minalca,"| Minalca | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000001 icon.png, 216000002 icon.png",2023-02-24
106,/thumb.php?f=2000000001_command.png&width=80,2000000001 command.png,Tetra,"| Tetra | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-02-24
107,/thumb.php?f=2000000005_command.png&width=80,2000000005 command.png,Mordy,"| Mordy | 
 | 4★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-02-24
108,/thumb.php?f=2000000003_command.png&width=80,2000000003 command.png,Minimander,"| Minimander | 
 | 3★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-02-24
109,/thumb.php?f=2000000004_command.png&width=80,2000000004 command.png,Lord Ukulele,"| Lord Ukulele | 
 | 3★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-02-24
110,/thumb.php?f=101000271_s2_rank5_command.png&width=80,101000271 s2 rank5 command.png,Flammelapis AS,"| Flammelapis AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000000 icon.png, 216000004 icon.png",2023-02-10
111,/thumb.php?f=101000321_rank5_command.png&width=80,101000321 rank5 command.png,Iphi,"| Iphi | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 32.png, 202000000 icon.png, 216000004 icon.png",2023-01-27
112,/thumb.php?f=101040181_rank5_command.png&width=80,101040181 rank5 command.png,Noble Blossom,"| Noble Blossom | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000004 icon.png, 216000002 icon.png",2023-01-11
113,/thumb.php?f=101030151_s2_rank5_command.png&width=80,101030151 s2 rank5 command.png,Necoco AS,"| Necoco AS | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 2.png, 202000003 icon.png, 216000003 icon.png",2022-12-27
114,/thumb.php?f=101450031_rank5_command.png&width=80,101450031 rank5 command.png,Alphen,"| Alphen | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000001 icon.png, 216000002 icon.png",2022-12-20
115,/thumb.php?f=101450021_rank5_command.png&width=80,101450021 rank5 command.png,Colette,"| Colette | 
 | 4~5★","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 0.png, 202000000 icon.png, 216000004 icon.png",2022-12-20
116,/thumb.php?f=101010141_rank5_command.png&width=80,101010141 rank5 command.png,Moonlight Flower,"| Moonlight Flower | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 8.png, 202000001 icon.png, 216000002 icon.png",2022-12-20
117,/thumb.php?f=101450011_rank5_command.png&width=80,101450011 rank5 command.png,Lloyd,"| Lloyd | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000002 icon.png, 216000004 icon.png",2022-12-20
118,/thumb.php?f=101450041_rank5_command.png&width=80,101450041 rank5 command.png,Shionne,"| Shionne | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000005 icon.png, 216000004 icon.png",2022-12-20
119,/thumb.php?f=101070081_s2_rank5_command.png&width=80,101070081 s2 rank5 command.png,Biaka AS,"| Biaka AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, 202000007 icon.png, 216000002 icon.png",2022-12-07
120,/thumb.php?f=101010101_s2_rank5_command.png&width=80,101010101 s2 rank5 command.png,Cynthia AS,"| Cynthia AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, 202000001 icon.png, 216000002 icon.png",2022-11-22
121,/thumb.php?f=101050081_s3_rank5_command.png&width=80,101050081 s3 rank5 command.png,Claude ES,"| Claude ES | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, 202000001 icon.png, 216000002 icon.png",2022-11-09
122,/thumb.php?f=101000311_rank5_command.png&width=80,101000311 rank5 command.png,Aisha,"| Aisha | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 8.png, 202000000 icon.png, 216000004 icon.png",2022-10-21
123,/thumb.php?f=101040021_s2_rank5_command.png&width=80,101040021 s2 rank5 command.png,Soira AS,"| Soira AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, 202000004 icon.png, 216000002 icon.png",2022-10-21
124,/thumb.php?f=101060151_rank5_command.png&width=80,101060151 rank5 command.png,Uquaji,"| Uquaji | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000006 icon.png, 216000003 icon.png",2022-10-11
125,/thumb.php?f=101050131_s2_rank5_command.png&width=80,101050131 s2 rank5 command.png,Yukino AS,"| Yukino AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000005 icon.png, 216000004 icon.png",2022-10-11
126,/thumb.php?f=101000101_s2_rank5_command.png&width=80,101000101 s2 rank5 command.png,Lele AS,"| Lele AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000000 icon.png, 216000004 icon.png",2022-09-22
127,/thumb.php?f=101050171_rank5_command.png&width=80,101050171 rank5 command.png,Alma,"| Alma | 
 | 4~5★","/thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 64.png, 202000005 icon.png, 216000004 icon.png",2022-09-09
128,/thumb.php?f=101070101_s2_rank5_command.png&width=80,101070101 s2 rank5 command.png,Yipha AS,"| Yipha AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, Skill Type 8 0.png, 202000007 icon.png, 216000002 icon.png",2022-08-23
129,/thumb.php?f=101020011_s2_rank5_command.png&width=80,101020011 s2 rank5 command.png,Azami AS,"| Azami AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, 202000002 icon.png, 216000004 icon.png",2022-08-12
130,/thumb.php?f=101000301_rank5_command.png&width=80,101000301 rank5 command.png,Jet Tactician,"| Jet Tactician | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000000 icon.png, 216000004 icon.png",2022-08-12
131,/thumb.php?f=101010111_s2_rank5_command.png&width=80,101010111 s2 rank5 command.png,Radias AS,"| Radias AS | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000001 icon.png, 216000002 icon.png",2022-07-25
132,/thumb.php?f=101010041_s3_rank5_command.png&width=80,101010041 s3 rank5 command.png,Miyu ES,"| Miyu ES | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, Skill Type 8 16.png, 202000004 icon.png, 216000002 icon.png",2022-07-08
133,/thumb.php?f=101070121_rank5_command.png&width=80,101070121 rank5 command.png,Noahxis,"| Noahxis | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, 202000007 icon.png, 216000002 icon.png",2022-07-08
134,/thumb.php?f=101050161_rank5_command.png&width=80,101050161 rank5 command.png,Nona,"| Nona | 
 | 4~5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 32.png, 202000005 icon.png, 216000004 icon.png",2022-07-08
135,/thumb.php?f=101030171_rank5_command.png&width=80,101030171 rank5 command.png,Orleya,"| Orleya | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 16.png, 202000003 icon.png, 216000003 icon.png",2022-07-08
136,/thumb.php?f=101040131_s2_rank5_command.png&width=80,101040131 s2 rank5 command.png,Milsha AS,"| Milsha AS | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, Skill Type 8 32.png, 202000004 icon.png, 216000002 icon.png",2022-06-14
137,/thumb.php?f=101030111_s2_rank5_command.png&width=80,101030111 s2 rank5 command.png,Philo AS,"| Philo AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000003 icon.png, 216000003 icon.png",2022-06-06
138,/thumb.php?f=101020041_s2_rank5_command.png&width=80,101020041 s2 rank5 command.png,Otoha AS,"| Otoha AS | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, 202000002 icon.png, 216000004 icon.png",2022-05-27
139,/thumb.php?f=101000291_rank5_command.png&width=80,101000291 rank5 command.png,Mayu,"| Mayu | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000000 icon.png, 216000004 icon.png",2022-05-19
140,/thumb.php?f=101040031_s3_rank5_command.png&width=80,101040031 s3 rank5 command.png,Suzette ES,"| Suzette ES | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000007 icon.png, 216000002 icon.png",2022-05-19
141,/thumb.php?f=101050151_rank5_command.png&width=80,101050151 rank5 command.png,Silver Striker,"| Silver Striker | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 16.png, 202000005 icon.png, 216000004 icon.png",2022-04-27
142,/thumb.php?f=101440051_rank5_command.png&width=80,101440051 rank5 command.png,Starky,"| Starky | 
 | 5★","/thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 64.png, 202000000 icon.png, 216000004 icon.png",2022-04-27
143,/thumb.php?f=101040171_rank5_command.png&width=80,101040171 rank5 command.png,Violet Lancer,"| Violet Lancer | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, 202000004 icon.png, 216000002 icon.png",2022-04-15
144,/thumb.php?f=101000271_rank5_command.png&width=80,101000271 rank5 command.png,Flammelapis,"| Flammelapis | 
 | 4~5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000000 icon.png, 216000004 icon.png",2022-04-07
145,/thumb.php?f=101050121_s2_rank5_command.png&width=80,101050121 s2 rank5 command.png,Mistrare AS,"| Mistrare AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, Skill Type 8 64.png, 202000005 icon.png, 216000004 icon.png",2022-03-28
146,/thumb.php?f=101030161_rank5_command.png&width=80,101030161 rank5 command.png,Cyan Scyther,"| Cyan Scyther | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 4.png, 202000003 icon.png, 216000003 icon.png",2022-03-16
147,/thumb.php?f=101060141_rank5_command.png&width=80,101060141 rank5 command.png,Red Clad Flam.,"| Red Clad Flam. | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 64.png, 202000006 icon.png, 216000003 icon.png",2022-02-25
148,/thumb.php?f=101030131_s2_rank5_command.png&width=80,101030131 s2 rank5 command.png,Zeviro AS,"| Zeviro AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000003 icon.png, 216000003 icon.png",2022-02-15
149,/thumb.php?f=101020141_rank5_command.png&width=80,101020141 rank5 command.png,Black Clad Sw.,"| Black Clad Sw. | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, Skill Type 8 32.png, 202000002 icon.png, 216000004 icon.png",2022-02-07
150,/thumb.php?f=101000281_rank5_command.png&width=80,101000281 rank5 command.png,Eva,"| Eva | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 64.png, 202000000 icon.png, 216000004 icon.png",2022-01-28
151,/thumb.php?f=101020151_rank5_command.png&width=80,101020151 rank5 command.png,Curio,"| Curio | 
 | 4~5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, Skill Type 8 32.png, 202000002 icon.png, 216000004 icon.png",2022-01-19
152,/thumb.php?f=101020071_s3_rank5_command.png&width=80,101020071 s3 rank5 command.png,Isuka ES,"| Isuka ES | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 32.png, 202000001 icon.png, 216000002 icon.png",2022-01-19
153,/thumb.php?f=101070111_rank5_command.png&width=80,101070111 rank5 command.png,Daisy,"| Daisy | 
 | 4~5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, 202000007 icon.png, 216000002 icon.png",2022-01-07
154,/thumb.php?f=101000201_s2_rank5_command.png&width=80,101000201 s2 rank5 command.png,Levia AS,"| Levia AS | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000000 icon.png, 216000004 icon.png",2021-12-17
155,/thumb.php?f=101030071_s3_rank5_command.png&width=80,101030071 s3 rank5 command.png,Nagi ES,"| Nagi ES | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 64.png, 202000000 icon.png, 216000004 icon.png",2021-12-17
156,/thumb.php?f=101440031_rank5_command.png&width=80,101440031 rank5 command.png,Harle,"| Harle | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 32.png, 202000000 icon.png, 216000004 icon.png",2021-12-09
157,/thumb.php?f=101440021_rank5_command.png&width=80,101440021 rank5 command.png,Kid,"| Kid | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000002 icon.png, 216000004 icon.png",2021-12-09
158,/thumb.php?f=101030121_s2_rank5_command.png&width=80,101030121 s2 rank5 command.png,Kikyo AS,"| Kikyo AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 4.png, 202000003 icon.png, 216000003 icon.png",2021-12-09
159,/thumb.php?f=101440011_rank5_command.png&width=80,101440011 rank5 command.png,Serge,"| Serge | 
 | 4~5★","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 0.png, 202000001 icon.png, 216000002 icon.png",2021-12-09
160,/thumb.php?f=101050141_rank5_command.png&width=80,101050141 rank5 command.png,Pizzica,"| Pizzica | 
 | 4~5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000005 icon.png, 216000004 icon.png",2021-11-17
